no,word,meaning(KOR)
1,hygiene,위생
2,temptimg,솔깃한
3,infection,전염병
4,response,대응
5,rely on ,의존하다
6,accepted,일반적으로 인정된
7,treatment,치료
8,pharmaceutical,제약의
9,revenue,수입
10,symptom,증상
11,address,다루다
12,vaccination,예방접종
13,contain,포함하다
14,allergen,알레르기 유발 물질
15,defense,방어책
16,trigger,일으키다
17,remedy,요법
18,alternative,대체의
19,nasal,코의
20,cavity,빈 부분
21,herbal,약초의
22,cite,(예)를 들다
23,eradicate,근절하다
24,susceptible,걸리기 쉬운
25,obesity,비만
26,alarming,우려스러운
27,attributable,기인하는
28,modernization,현대화
29,hypothesis,가설
30,immune,면역의
31,exposure,노출
32,microbial,미생물의
33,contract,(병)에 걸리다
34,incidence,발생률
35,account for,설명하다
36,prevalent,만연한
37,culprit,장본인
38,additive,첨가물
39,preservative,방부제
40,irritation,염증
